"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
1,"Ájgájåhkå",7373400.00,587735.00,3414608.00,7,2,1,2,1,"Ájgájåhkå_3414608_1","Arjeplog",1
2,"Allejaurälven",7305561.00,655276.00,3414713.00,7,5,1,2,1,"Allejaurälven_3414713_1","Arjeplog",1
3,"Jilliejávriejuhka",7305516.00,655198.00,3414713.00,7,7,1,2,1,"Jilliejávriejuhka_3414713_1","Arjeplog",1
4,"Avatjärnen",7308823.00,655591.00,3414833.00,8,5,1,2,1,"Avatjärnen_3414833_1","Arjeplog",1
5,"Bartek",7377347.00,601141.00,3414848.00,7,2,1,2,1,"Bartek_3414848_1","Arjeplog",1
6,"Bassejåhkå",7336385.00,610031.00,3414850.00,7,2,1,2,1,"Bassejåhkå_3414850_1","Arjeplog",1
7,"Bassebäcken",7336416.00,610104.00,3414850.00,7,5,1,2,1,"Bassebäcken_3414850_1","Arjeplog",1
8,"Bieljávrjåhkå",7354040.00,588853.00,3414890.00,7,2,1,2,1,"Bieljávrjåhkå_3414890_1","Arjeplog",1
9,"Blassaselet",7359042.00,556373.00,3414974.00,7,5,1,2,1,"Blassaselet_3414974_1","Arjeplog",1
10,"Blävttajåhkå",7354759.00,615828.00,3414985.00,7,2,1,2,1,"Blävttajåhkå_3414985_1","Arjeplog",1
11,"Brattforsen",7284988.00,643869.00,3415050.00,7,5,1,2,1,"Brattforsen_3415050_1","Arjeplog",1
12,"Bredträskbäcken",7321403.00,638208.00,3415076.00,7,5,1,2,1,"Bredträskbäcken_3415076_1","Arjeplog",1
13,"Båjmátjjåhkå",7384263.00,563363.00,3415188.00,7,2,1,2,1,"Båjmátjjåhkå_3415188_1","Arjeplog",1
14,"Båtsabäcken",7306439.00,642021.00,3415195.00,7,5,1,2,1,"Båtsabäcken_3415195_1","Arjeplog",1
15,"Båhttsájuhka",7306418.00,642058.00,3415195.00,7,7,1,2,1,"Båhttsájuhka_3415195_1","Arjeplog",1
16,"Davnasjåhkå",7377309.00,567324.00,3415252.00,7,2,1,2,1,"Davnasjåhkå_3415252_1","Arjeplog",1
17,"Djupvikbäcken",7301298.00,616735.00,3415309.00,7,5,1,2,1,"Djupvikbäcken_3415309_1","Arjeplog",1
18,"Esmebäcken",7351857.00,599715.00,3415391.00,7,5,1,2,1,"Esmebäcken_3415391_1","Arjeplog",1
19,"Evebäcken",7322989.00,612150.00,3415393.00,7,5,1,2,1,"Evebäcken_3415393_1","Arjeplog",1
20,"Fambarströmmen",7284637.00,643124.00,3415399.00,7,5,1,2,1,"Fambarströmmen_3415399_1","Arjeplog",1
21,"Fräkenselet",7308096.00,654764.00,3415495.00,8,5,1,2,1,"Fräkenselet_3415495_1","Arjeplog",1
22,"Gaitsjaurebäcken",7357615.00,570059.00,3415544.00,7,5,1,2,1,"Gaitsjaurebäcken_3415544_1","Arjeplog",1
23,"Gargaurbäcken",7288837.00,625955.00,3415579.00,7,5,1,2,1,"Gargaurbäcken_3415579_1","Arjeplog",1
24,"Gárggurejuhka",7288614.00,626098.00,3415579.00,7,7,1,2,1,"Gárggurejuhka_3415579_1","Arjeplog",1
25,"Gargån",7281916.00,634171.00,3415580.00,7,5,1,2,1,"Gargån_3415580_1","Arjeplog",1
26,"Gárgguojuhka",7281785.00,634298.00,3415580.00,7,7,1,2,1,"Gárgguojuhka_3415580_1","Arjeplog",1
27,"Gargån",7287444.00,629479.00,3415581.00,7,5,1,2,1,"Gargån_3415581_1","Arjeplog",1
28,"Geusakbäcken",7307439.00,633743.00,3415598.00,7,5,1,2,1,"Geusakbäcken_3415598_1","Arjeplog",1
29,"Giejávrjåhkå",7332842.00,642541.00,3415603.00,7,2,1,2,1,"Giejávrjåhkå_3415603_1","Arjeplog",1
30,"Giejaurbäcken",7332914.00,642583.00,3415603.00,7,5,1,2,1,"Giejaurbäcken_3415603_1","Arjeplog",1
31,"Gimesmyrbäcken",7302649.00,631037.00,3415606.00,7,5,1,2,1,"Gimesmyrbäcken_3415606_1","Arjeplog",1
32,"Gorkabäcken",7289384.00,630209.00,3415616.00,7,5,1,2,1,"Gorkabäcken_3415616_1","Arjeplog",1
33,"Kráhkajåhkå",7377027.00,580131.00,3415618.00,7,2,1,2,1,"Kráhkajåhkå_3415618_1","Arjeplog",1
34,"Granlidbäcken",7327396.00,654594.00,3415631.00,7,5,1,2,1,"Granlidbäcken_3415631_1","Arjeplog",1
35,"Gárgguojuhka",7287450.00,629411.00,3415757.00,7,7,1,2,1,"Gárgguojuhka_3415757_1","Arjeplog",1
36,"Gäddbäcken",7281596.00,639707.00,3415763.00,7,5,1,2,1,"Gäddbäcken_3415763_1","Arjeplog",1
37,"Gåhpejågåtj",7376001.00,589795.00,3415795.00,7,2,1,2,1,"Gåhpejågåtj_3415795_1","Arjeplog",1
38,"Handskbäcken",7286857.00,620343.00,3415873.00,7,5,1,2,1,"Handskbäcken_3415873_1","Arjeplog",1
39,"Harrbäcken",7293189.00,651054.00,3415913.00,7,5,1,2,1,"Harrbäcken_3415913_1","Arjeplog",1
